scene,resolver,playerMeleeDamage,playerShotDamage,playerHp,enemyMeleeDamage,enemyShotDamage,enemyHp,victory,lose,actions,rounds,wall_time,lost_players,appeared_players,final_players,hp_lost,killed_enemies,appeared_enemies,final_enemies,damage_dealt,sum_of_final_players_hp,sum_of_final_enemies_hp,move_actions,non_move_actions,coverage,errors,max_rounds_exceeded
497189873,HeuristicGameResolver,2,1,3,2,1,3,0.4,0.6,23.8,3.5,7.960512328147888,3.8,4.9,1.1,11.8,5.4,0.7,1.0,17.2,2.9,2.0,6.8,17.0,0.29195207269510676,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,1,4,0.8,0.2,18.4,3.2,9.510065984725951,2.7,4.6,1.9,9.1,5.0,0.5,0.5,21.1,4.7,0.9,5.5,12.9,0.2380287840814157,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,1,5,0.3,0.7,18.6,2.8,10.833280682563782,4.2,5.0,0.8,13.0,3.6,0.7,2.9,20.4,2.0,12.4,6.0,12.6,0.2621103728572769,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,1,6,0.2,0.8,16.6,2.5,9.787505865097046,4.5,5.0,0.5,13.7,2.8,0.9,3.8,23.2,1.3,17.4,5.6,11.0,0.24882692470927764,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,1,7,0.1,0.9,16.1,2.7,10.83271939754486,4.7,5.0,0.3,14.1,2.3,0.9,4.0,23.1,0.9,21.6,5.7,10.4,0.22461128310973516,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,2,3,0.2,0.8,19.3,3.0,8.91592800617218,4.2,4.8,0.6,12.6,4.0,0.8,2.2,13.8,1.8,4.8,5.9,13.4,0.2569526255478268,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,3,3,0.1,0.9,17.5,3.0,9.107054901123046,4.5,4.8,0.3,13.5,4.5,0.9,2.4,15.5,0.9,5.2,5.0,12.5,0.21561784362867958,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,4,3,0.0,1.0,21.0,3.0,10.311561727523804,5.0,5.0,0.0,15.0,4.7,1.0,2.3,16.8,0.0,4.5,6.2,14.8,0.25934609250398716,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,2,5,3,0.1,0.9,19.6,3.0,9.279878449440002,4.8,5.0,0.2,14.4,3.6,0.9,2.2,12.7,0.6,4.7,6.3,13.3,0.27006430961539324,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,3,1,3,0.3,0.7,27.9,4.3,11.93007035255432,4.2,4.9,0.7,12.8,5.8,0.9,0.8,18.8,1.9,1.0,8.3,19.6,0.3800146980642337,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,4,1,3,0.6,0.4,23.7,3.8,10.24946050643921,3.0,4.5,1.5,9.8,5.6,0.6,0.7,17.4,3.7,1.5,7.2,16.5,0.31189835663132875,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,5,1,3,0.8,0.2,16.5,2.1,7.518875336647033,1.5,3.7,2.2,5.7,5.4,0.2,0.4,16.8,5.4,0.6,4.9,11.6,0.235457410236822,0.0,0.0
497189873,HeuristicGameResolver,2,1,3,6,1,3,0.4,0.6,27.0,4.5,12.45969123840332,4.0,4.7,0.7,12.6,5.5,0.8,0.7,17.7,1.5,0.9,8.7,18.3,0.36787356649198755,0.0,0.0
497189873,HeuristicGameResolver,2,1,4,2,1,3,0.7,0.3,21.4,3.1,8.87713725566864,2.3,4.2,1.9,10.5,6.2,0.5,0.7,19.0,6.3,1.7,6.1,15.3,0.2815332783831236,0.0,0.0
497189873,HeuristicGameResolver,2,1,5,2,1,3,0.6,0.4,34.0,6.4,13.4495183467865,3.3,4.6,1.3,18.9,6.1,0.8,0.4,19.1,4.1,0.4,11.2,22.8,0.4146987734487735,0.0,0.0
497189873,HeuristicGameResolver,2,1,6,2,1,3,0.8,0.2,28.0,4.9,11.137203311920166,2.2,4.3,2.1,15.9,5.6,0.8,0.2,17.2,10.2,0.2,8.9,19.1,0.35620729631565545,0.0,0.0
497189873,HeuristicGameResolver,2,1,7,2,1,3,1.0,0.0,26.6,4.2,10.583347249031068,1.2,3.8,2.6,14.7,6.1,0.3,0.0,18.3,11.9,0.0,8.0,18.6,0.35097105508870213,0.0,0.0
497189873,HeuristicGameResolver,2,2,3,2,1,3,1.0,0.0,9.6,1.3,3.4371587514877318,0.2,3.1,2.9,1.4,5.5,0.0,0.0,16.5,7.9,0.0,1.6,8.0,0.09114422084623323,0.0,0.0
497189873,HeuristicGameResolver,2,3,3,2,1,3,0.9,0.1,13.8,1.9,4.540499186515808,1.2,3.6,2.4,3.8,5.0,0.2,0.1,15.0,7.0,0.3,3.6,10.2,0.15394211911239775,0.0,0.0
497189873,HeuristicGameResolver,2,4,3,2,1,3,1.0,0.0,20.3,2.5,6.633186078071594,1.2,3.7,2.5,4.4,6.5,0.2,0.0,19.5,6.7,0.0,5.6,14.7,0.25686039966225727,0.0,0.0
497189873,HeuristicGameResolver,2,5,3,2,1,3,0.9,0.1,17.4,2.3,6.008055305480957,1.1,3.8,2.7,3.7,6.8,0.2,0.1,20.4,7.7,0.3,4.4,13.0,0.22307990899709168,0.0,0.0
497189873,HeuristicGameResolver,3,1,3,2,1,3,0.4,0.6,26.6,4.6,9.285442209243774,4.3,4.9,0.6,13.5,4.7,0.8,0.8,15.1,1.2,1.5,8.5,18.1,0.32759920634920636,0.0,0.0
497189873,HeuristicGameResolver,4,1,3,2,1,3,0.3,0.7,25.5,4.6,9.011367893218994,4.6,5.0,0.4,14.0,4.7,1.0,0.9,15.7,1.0,1.1,7.8,17.7,0.28819396977291717,0.0,0.0
497189873,HeuristicGameResolver,5,1,3,2,1,3,0.1,0.9,20.7,3.6,8.566934084892273,4.9,5.0,0.1,14.9,4.7,1.0,2.1,16.2,0.1,4.4,6.2,14.5,0.2603632242370632,0.0,0.0
497189873,HeuristicGameResolver,6,1,3,2,1,3,0.2,0.8,28.3,4.8,11.26873037815094,4.7,5.0,0.3,14.5,6.3,1.1,1.1,20.6,0.5,1.9,8.7,19.6,0.3606046365914787,0.0,0.0
