,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
27,27,2.1,4.0,2025-11-08 11:27:44.498822,2025-11-08 11:29:33.025126,0 days 00:01:48.526304,1,2,5,1,5,3,0.0,0.31622776601683794,0,COMPLETE
28,28,2.3,3.7,2025-11-08 11:29:33.025267,2025-11-08 11:31:24.822968,0 days 00:01:51.797701,4,4,2,1,1,1,0.9486832980505138,0.6749485577105528,0,COMPLETE
29,29,1.0,1.0,2025-11-08 11:31:24.823072,2025-11-08 11:32:17.590470,0 days 00:00:52.767398,4,3,1,0,2,3,0.0,0.0,0,COMPLETE
30,30,3.0,4.0,2025-11-08 11:32:17.590568,2025-11-08 11:34:36.017310,0 days 00:02:18.426742,3,1,4,2,4,1,0.0,0.9428090415820634,0,COMPLETE
31,31,4.1,4.0,2025-11-08 11:34:36.017447,2025-11-08 11:36:55.419861,0 days 00:02:19.402414,3,2,3,1,5,5,0.0,0.7378647873726218,0,COMPLETE
32,32,1.0,1.0,2025-11-08 11:36:55.419972,2025-11-08 11:37:51.395624,0 days 00:00:55.975652,3,4,2,0,5,4,0.0,0.0,0,COMPLETE
33,33,2.7,3.8,2025-11-08 11:37:51.395726,2025-11-08 11:39:51.931738,0 days 00:02:00.536012,1,3,2,2,2,3,0.6324555320336759,0.8232726023485646,0,COMPLETE
34,34,2.7,4.0,2025-11-08 11:39:51.931848,2025-11-08 11:42:08.125498,0 days 00:02:16.193650,4,1,0,1,3,0,0.0,0.8232726023485646,0,COMPLETE
35,35,2.6,3.5999999999999996,2025-11-08 11:42:08.125616,2025-11-08 11:44:08.430295,0 days 00:02:00.304679,2,2,3,3,5,4,1.2649110640673518,0.8432740427115679,0,COMPLETE
36,36,4.1,2.2,2025-11-08 11:44:08.430398,2025-11-08 11:46:26.742550,0 days 00:02:18.312152,2,3,5,5,2,2,2.3944379994757297,2.4698178070456938,0,COMPLETE
37,37,3.3,4.0,2025-11-08 11:46:26.742655,2025-11-08 11:48:39.361253,0 days 00:02:12.618598,4,3,4,2,0,5,0.0,0.674948557710553,0,COMPLETE
38,38,3.6,2.6,2025-11-08 11:48:39.361365,2025-11-08 11:51:00.014552,0 days 00:02:20.653187,5,2,1,3,5,5,2.118699810942761,2.4129281427805145,0,COMPLETE
39,39,2.0,4.0,2025-11-08 11:51:00.014656,2025-11-08 11:52:50.045424,0 days 00:01:50.030768,4,4,3,4,1,0,0.0,0.0,0,COMPLETE
40,40,3.5,2.8,2025-11-08 11:52:50.045558,2025-11-08 11:54:56.333702,0 days 00:02:06.288144,4,4,1,2,2,5,1.6193277068654826,0.97182531580755,0,COMPLETE
41,41,3.3,3.7,2025-11-08 11:54:56.333829,2025-11-08 11:57:12.320880,0 days 00:02:15.987051,1,1,5,2,4,1,0.9486832980505138,1.2516655570345725,0,COMPLETE
42,42,4.0,1.7000000000000002,2025-11-08 11:57:12.320989,2025-11-08 11:59:34.359104,0 days 00:02:22.038115,3,1,1,3,3,5,2.1628170930011112,2.581988897471611,0,COMPLETE
43,43,3.9,3.4000000000000004,2025-11-08 11:59:34.359216,2025-11-08 12:01:58.027364,0 days 00:02:23.668148,1,0,4,5,1,5,1.577621275493231,2.766867462592951,0,COMPLETE
44,44,2.5,3.5,2025-11-08 12:01:58.027480,2025-11-08 12:04:17.484245,0 days 00:02:19.456765,5,1,2,1,2,3,1.5811388300841898,0.97182531580755,0,COMPLETE
45,45,7.2,1.4,2025-11-08 12:04:17.484384,2025-11-08 12:07:32.053089,0 days 00:03:14.568705,1,2,0,5,2,1,1.577621275493231,4.1311822359545785,0,COMPLETE
46,46,1.5,0.8,2025-11-08 12:07:32.053206,2025-11-08 12:09:20.720280,0 days 00:01:48.667074,3,2,5,2,4,2,2.0976176963403033,0.5270462766947299,0,COMPLETE
47,47,2.4,0.8,2025-11-08 12:09:20.720425,2025-11-08 12:11:19.039455,0 days 00:01:58.319030,5,4,5,2,2,4,1.9888578520235067,1.5055453054181622,0,COMPLETE
48,48,3.4,3.4000000000000004,2025-11-08 12:11:19.039565,2025-11-08 12:13:48.926386,0 days 00:02:29.886821,4,0,5,4,5,2,1.3498971154211057,1.4298407059684812,0,COMPLETE
49,49,2.7,1.4,2025-11-08 12:13:48.926496,2025-11-08 12:15:59.929178,0 days 00:02:11.002682,2,0,3,2,0,5,2.412928142780514,1.2516655570345725,0,COMPLETE
