,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
27,27,2.5,1.2,20:11.1,22:05.1,0 days 00:01:54.019523,5,5,1,2,2,4,2.485513584,1.715938357,0,COMPLETE
28,28,2,4,22:05.1,23:59.7,0 days 00:01:54.576017,5,5,5,3,1,1,0,0,0,COMPLETE
29,29,3.1,3.3,23:59.7,26:13.1,0 days 00:02:13.384276,1,4,1,1,0,1,1.636391694,0.567646212,0,COMPLETE
30,30,1.8,0.7,26:13.1,28:03.7,0 days 00:01:50.658194,5,2,1,2,1,4,2.057506582,0.918936583,0,COMPLETE
31,31,1.5,0.4,28:03.7,29:48.7,0 days 00:01:44.912808,3,4,3,2,5,2,1.505545305,0.527046277,0,COMPLETE
32,32,5.5,2.7,29:48.7,32:50.7,0 days 00:03:02.092474,5,1,2,4,5,2,1.82878223,2.368778401,0,COMPLETE
33,33,2.1,4,32:50.7,34:49.1,0 days 00:01:58.383667,1,5,2,5,5,5,0,0.316227766,0,COMPLETE
34,34,2.6,3,34:49.1,37:09.8,0 days 00:02:20.630084,4,4,5,5,3,1,1.490711985,0.516397779,0,COMPLETE
35,35,1.6,0.4,37:09.8,38:54.0,0 days 00:01:44.272168,2,1,5,5,1,1,1.0749677,0.843274043,0,COMPLETE
36,36,4.5,0.3,38:54.0,41:38.3,0 days 00:02:44.292559,3,3,0,5,3,0,1.33749351,2.223610677,0,COMPLETE
37,37,2,4,41:38.3,43:44.1,0 days 00:02:05.802659,4,5,0,2,1,0,0,0,0,COMPLETE
38,38,2.1,2.9,43:44.1,45:59.9,0 days 00:02:15.793126,5,5,4,3,3,0,1.852925615,0.567646212,0,COMPLETE
39,39,1,1,45:59.9,47:02.8,0 days 00:01:02.861896,4,2,2,0,4,0,0,0,0,COMPLETE
40,40,1,1,47:02.8,48:04.3,0 days 00:01:01.472036,5,2,5,0,4,1,0,0,0,COMPLETE
41,41,1,1,48:04.3,49:02.5,0 days 00:00:58.291441,5,3,0,0,2,3,0,0,0,COMPLETE
42,42,1,1,49:02.5,50:03.2,0 days 00:01:00.641522,1,2,5,0,0,5,0,0,0,COMPLETE
43,43,1.8,1.3,50:03.2,52:13.9,0 days 00:02:10.676376,5,2,3,3,3,0,2.110818693,0.632455532,0,COMPLETE
44,44,2,4,52:13.9,54:17.4,0 days 00:02:03.566095,5,5,5,5,2,1,0,0,0,COMPLETE
45,45,1,1,54:17.4,55:18.2,0 days 00:01:00.785405,4,3,1,0,4,2,0,0,0,COMPLETE
46,46,3.4,3.1,55:18.2,57:40.8,0 days 00:02:22.604684,2,1,1,2,0,2,1.91195072,0.966091783,0,COMPLETE
47,47,1,1,57:40.8,58:41.6,0 days 00:01:00.739019,3,2,4,0,4,2,0,0,0,COMPLETE
48,48,2.4,4,58:41.6,01:01.4,0 days 00:02:19.800063,5,5,3,5,1,3,0,0.516397779,0,COMPLETE
49,49,3,0.5,01:01.4,03:15.6,0 days 00:02:14.289427,4,1,4,3,2,4,1.509230856,1.56347192,0,COMPLETE
