,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
0,0,1,1,34:37.0,35:23.5,0 days 00:00:46.547342,3,1,5,0,5,2,0,0,0,COMPLETE
1,1,1,1,35:23.5,36:10.9,0 days 00:00:47.405692,3,3,2,0,1,0,0,0,0,COMPLETE
2,2,4.3,2.5,36:10.9,38:37.1,0 days 00:02:26.118616,4,2,2,4,3,2,1.779513042,1.251665557,0,COMPLETE
3,3,1,1,38:37.1,39:25.3,0 days 00:00:48.216472,3,5,4,0,1,1,0,0,0,COMPLETE
4,4,3.5,3.4,39:25.3,41:37.5,0 days 00:02:12.267005,4,0,2,3,4,2,1.349897115,1.08012345,0,COMPLETE
5,5,3.4,3.4,41:37.5,43:49.3,0 days 00:02:11.793959,1,4,1,5,2,4,1.577621275,1.264911064,0,COMPLETE
6,6,2.5,4,43:49.3,45:49.1,0 days 00:01:59.759059,2,4,5,2,5,5,0,0.527046277,0,COMPLETE
7,7,2,4,45:49.1,47:31.3,0 days 00:01:42.231544,5,3,4,2,0,0,0,0,0,COMPLETE
8,8,1.9,0.4,47:31.3,49:05.1,0 days 00:01:33.806150,3,3,1,2,0,2,1.897366596,1.100504935,0,COMPLETE
9,9,3,4,49:05.1,51:33.5,0 days 00:02:28.346208,5,0,4,4,0,0,0,0.816496581,0,COMPLETE
10,10,2.8,3.7,51:33.5,53:33.3,0 days 00:01:59.866734,1,4,0,5,4,5,0.948683298,0.918936583,0,COMPLETE
11,11,3.6,3.8,53:33.3,55:49.0,0 days 00:02:15.652567,4,4,4,3,4,5,0.632455532,0.966091783,0,COMPLETE
12,12,2.4,0.4,55:49.0,57:39.0,0 days 00:01:50.032379,1,0,1,5,0,3,0.966091783,1.349897115,0,COMPLETE
13,13,1,1,57:39.0,58:30.0,0 days 00:00:50.986453,5,5,5,0,4,4,0,0,0,COMPLETE
14,14,4.4,3.5,58:30.0,01:00.5,0 days 00:02:30.458054,5,1,5,5,5,2,1.08012345,2.633122354,0,COMPLETE
15,15,1.3,0.7,01:00.5,02:29.5,0 days 00:01:29.021186,4,3,2,5,2,3,0.674948558,0.674948558,0,COMPLETE
16,16,1,1,02:29.5,03:21.4,0 days 00:00:51.877159,2,0,1,0,2,4,0,0,0,COMPLETE
17,17,1,1,03:21.4,04:13.8,0 days 00:00:52.450069,4,4,5,0,3,0,0,0,0,COMPLETE
18,18,1,1,04:13.8,05:06.4,0 days 00:00:52.569803,5,5,5,0,3,1,0,0,0,COMPLETE
19,19,1,1,05:06.4,05:59.3,0 days 00:00:52.928657,5,4,4,0,0,1,0,0,0,COMPLETE
20,20,3.5,3.1,05:59.3,08:35.2,0 days 00:02:35.900165,4,2,2,5,1,0,1.523883927,1.269295518,0,COMPLETE
21,21,1.8,0.4,08:35.2,10:18.2,0 days 00:01:42.955289,3,1,1,3,2,2,1.0749677,1.475729575,0,COMPLETE
22,22,2.1,4,10:18.2,12:13.7,0 days 00:01:55.517505,1,3,1,2,4,3,0,0.316227766,0,COMPLETE
23,23,3.6,3.8,12:13.7,14:38.6,0 days 00:02:24.891202,4,1,2,2,0,4,0.632455532,0.966091783,0,COMPLETE
24,24,2.7,3.9,14:38.6,16:56.1,0 days 00:02:17.520173,5,3,2,3,3,3,0.316227766,0.948683298,0,COMPLETE
25,25,3.1,4,16:56.1,19:15.5,0 days 00:02:19.367961,3,5,1,2,5,1,0,0.994428926,0,COMPLETE
26,26,1,1,19:15.5,20:11.1,0 days 00:00:55.626806,1,0,0,0,0,1,0,0,0,COMPLETE
