,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,state
34,34,1.0,1.0,2025-11-20 20:14:43.995771,2025-11-20 20:15:34.783142,0 days 00:00:50.787371,1,0,3,0,2,2,0.0,0.0,COMPLETE
35,35,2.5,3.3,2025-11-20 20:15:34.783265,2025-11-20 20:17:39.459973,0 days 00:02:04.676708,3,2,5,2,3,1,1.1595018087284057,0.5270462766947299,COMPLETE
36,36,2.7,2.9,2025-11-20 20:17:39.460077,2025-11-20 20:19:43.428843,0 days 00:02:03.968766,4,1,2,1,5,1,1.1972189997378648,0.48304589153964794,COMPLETE
37,37,3.8,1.2000000000000002,2025-11-20 20:19:43.428953,2025-11-20 20:22:05.814313,0 days 00:02:22.385360,2,3,0,4,4,3,2.250925735484551,3.392802839999859,COMPLETE
38,38,1.4,0.9,2025-11-20 20:22:05.814792,2025-11-20 20:23:30.589651,0 days 00:01:24.774859,1,0,2,3,5,0,0.31622776601683794,1.2649110640673518,COMPLETE
39,39,3.3,4.0,2025-11-20 20:23:30.589763,2025-11-20 20:25:48.453836,0 days 00:02:17.864073,3,4,1,2,4,3,0.0,0.8232726023485646,COMPLETE
40,40,4.7,3.9000000000000004,2025-11-20 20:25:48.453951,2025-11-20 20:28:17.886636,0 days 00:02:29.432685,1,1,5,4,4,1,0.31622776601683794,1.3374935098492586,COMPLETE
41,41,3.9,3.0999999999999996,2025-11-20 20:28:17.886750,2025-11-20 20:30:43.277386,0 days 00:02:25.390636,1,2,1,5,0,5,1.5238839267549948,1.1005049346146119,COMPLETE
42,42,4.1,4.0,2025-11-20 20:30:43.277494,2025-11-20 20:33:10.908622,0 days 00:02:27.631128,5,2,0,1,1,5,0.0,0.9944289260117533,COMPLETE
43,43,3.1,3.5,2025-11-20 20:33:10.908728,2025-11-20 20:35:33.081453,0 days 00:02:22.172725,1,2,5,5,1,5,1.2692955176439846,0.9944289260117533,COMPLETE
44,44,3.2,2.2,2025-11-20 20:35:33.081563,2025-11-20 20:37:37.979627,0 days 00:02:04.898064,2,4,3,5,1,2,2.2997584414213788,1.8737959096740262,COMPLETE
45,45,2.4,3.2,2025-11-20 20:37:37.979736,2025-11-20 20:39:39.497446,0 days 00:02:01.517710,1,0,4,1,0,4,1.6865480854231358,0.6992058987801011,COMPLETE
46,46,2.3,4.0,2025-11-20 20:39:39.497553,2025-11-20 20:41:45.100023,0 days 00:02:05.602470,1,5,2,4,5,3,0.0,0.48304589153964794,COMPLETE
47,47,3.0,3.7,2025-11-20 20:41:45.100140,2025-11-20 20:43:57.967245,0 days 00:02:12.867105,3,1,2,2,4,4,0.9486832980505138,0.9428090415820634,COMPLETE
48,48,3.2,3.2,2025-11-20 20:43:57.967350,2025-11-20 20:46:22.857265,0 days 00:02:24.889915,5,0,5,4,5,3,1.7511900715418263,1.6193277068654826,COMPLETE
49,49,1.0,1.0,2025-11-20 20:46:22.857374,2025-11-20 20:47:17.820276,0 days 00:00:54.962902,1,1,3,0,1,0,0.0,0.0,COMPLETE
