,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,state
0,0,1.9,0.30000000000000004,2025-11-20 18:02:55.171352,2025-11-20 18:03:53.674437,0 days 00:00:58.503085,5,5,3,5,3,4,1.766981104093143,0.9944289260117533,COMPLETE
1,1,1.0,1.0,2025-11-20 18:03:53.674565,2025-11-20 18:04:22.910573,0 days 00:00:29.236008,4,3,2,0,4,3,0.0,0.0,COMPLETE
2,2,2.3,1.2000000000000002,2025-11-20 18:04:22.910670,2025-11-20 18:05:26.279720,0 days 00:01:03.369050,2,0,4,1,0,5,2.043961295567452,1.0593499054713802,COMPLETE
3,3,2.2,4.0,2025-11-20 18:05:26.279831,2025-11-20 18:06:28.037396,0 days 00:01:01.757565,1,2,1,1,0,4,0.0,0.6324555320336759,COMPLETE
4,4,3.6,2.3,2025-11-20 18:06:28.037530,2025-11-20 18:07:41.930483,0 days 00:01:13.892953,5,3,4,5,1,5,2.263232692902394,1.776388345929897,COMPLETE
5,5,3.6,2.4,2025-11-20 18:07:41.930593,2025-11-20 18:09:00.112347,0 days 00:01:18.181754,5,4,3,5,4,0,1.8973665961010275,1.7126976771553506,COMPLETE
6,6,3.9,4.0,2025-11-20 18:09:00.112455,2025-11-20 18:10:17.067947,0 days 00:01:16.955492,3,3,3,4,3,4,0.0,1.1972189997378648,COMPLETE
7,7,2.4,1.9,2025-11-20 18:10:17.068076,2025-11-20 18:11:22.684051,0 days 00:01:05.615975,3,0,2,1,2,3,2.024845673131659,0.8432740427115678,COMPLETE
8,8,2.9,2.2,2025-11-20 18:11:22.684152,2025-11-20 18:12:32.540599,0 days 00:01:09.856447,1,4,1,3,0,2,1.9321835661585918,0.5676462121975467,COMPLETE
9,9,3.0,1.2999999999999998,2025-11-20 18:12:32.540711,2025-11-20 18:13:53.378050,0 days 00:01:20.837339,5,4,0,4,3,1,1.9465068427541912,1.8257418583505538,COMPLETE
10,10,2.0,0.19999999999999996,2025-11-20 18:13:53.378166,2025-11-20 18:14:55.389727,0 days 00:01:02.011561,2,1,0,4,5,1,1.1352924243950935,1.1547005383792515,COMPLETE
11,11,2.1,4.0,2025-11-20 18:14:55.389850,2025-11-20 18:16:01.181289,0 days 00:01:05.791439,5,4,0,2,1,1,0.0,0.31622776601683794,COMPLETE
12,12,3.8,3.7,2025-11-20 18:16:01.181417,2025-11-20 18:17:23.908321,0 days 00:01:22.726904,5,4,5,4,1,5,0.6749485577105528,0.9189365834726815,COMPLETE
13,13,2.4,3.5,2025-11-20 18:17:23.908435,2025-11-20 18:18:40.502819,0 days 00:01:16.594384,5,3,4,4,3,1,1.5811388300841898,1.07496769977314,COMPLETE
14,14,3.2,0.30000000000000004,2025-11-20 18:18:40.502973,2025-11-20 18:19:57.225111,0 days 00:01:16.722138,4,1,0,5,3,1,1.567021236472421,1.7511900715418263,COMPLETE
15,15,5.9,1.1,2025-11-20 18:19:57.225268,2025-11-20 18:21:48.145039,0 days 00:01:50.919771,4,1,0,5,5,2,1.3703203194062978,1.9692073983655907,COMPLETE
