,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,state
16,16,5.3,0.5,2025-11-20 18:21:48.145169,2025-11-20 18:23:37.826606,0 days 00:01:49.681437,4,1,0,5,5,2,1.35400640077266,2.9458068127047605,COMPLETE
17,17,7.4,1.5,2025-11-20 18:23:37.826724,2025-11-20 18:25:44.946471,0 days 00:02:07.119747,4,1,0,5,5,2,1.90029237516523,3.6575644598253874,COMPLETE
18,18,2.7,4.0,2025-11-20 18:25:44.946602,2025-11-20 18:27:04.727528,0 days 00:01:19.780926,4,1,5,2,5,2,0.0,0.8232726023485646,COMPLETE
19,19,1.0,1.0,2025-11-20 18:27:04.727654,2025-11-20 18:27:38.531764,0 days 00:00:33.804110,4,5,0,0,5,2,0.0,0.0,COMPLETE
20,20,4.4,1.2999999999999998,2025-11-20 18:27:38.531854,2025-11-20 18:29:19.541142,0 days 00:01:41.009288,4,2,0,3,5,0,1.7029386365926402,2.3664319132398464,COMPLETE
21,21,3.1,0.0,2025-11-20 18:29:19.541256,2025-11-20 18:30:53.773122,0 days 00:01:34.231866,4,1,0,5,2,2,1.4907119849998598,1.449137674618944,COMPLETE
22,22,6.7,1.2000000000000002,2025-11-20 18:30:53.773269,2025-11-20 18:33:01.926119,0 days 00:02:08.152850,4,1,0,5,5,2,1.8737959096740262,2.9832867780352594,COMPLETE
23,23,4.9,2.2,2025-11-20 18:33:01.926284,2025-11-20 18:34:55.280339,0 days 00:01:53.354055,4,1,1,5,2,2,1.7511900715418263,2.558211180579986,COMPLETE
24,24,1.2,0.7,2025-11-20 18:34:55.280460,2025-11-20 18:35:55.525431,0 days 00:01:00.244971,3,1,2,5,2,2,0.6749485577105528,0.4216370213557839,COMPLETE
25,25,1.0,1.0,2025-11-20 18:35:55.525537,2025-11-20 18:36:30.102211,0 days 00:00:34.576674,1,1,5,0,5,2,0.0,0.0,COMPLETE
26,26,4.1,2.3,2025-11-20 18:36:30.102307,2025-11-20 18:38:17.018917,0 days 00:01:46.916610,2,5,0,3,4,0,1.1595018087284057,1.286683937707919,COMPLETE
27,27,1.9,0.19999999999999996,2025-11-20 18:38:17.019034,2025-11-20 18:39:29.048916,0 days 00:01:12.029882,4,2,0,2,5,3,1.1352924243950935,1.1005049346146119,COMPLETE
28,28,6.1,0.5,2025-11-20 18:39:29.049036,2025-11-20 18:41:37.257521,0 days 00:02:08.208485,4,0,0,5,5,2,1.509230856356236,4.2282121254470875,COMPLETE
29,29,2.5,0.6,2025-11-20 18:41:37.257633,2025-11-20 18:42:49.381126,0 days 00:01:12.123493,3,0,3,5,2,4,0.6992058987801011,1.6499158227686108,COMPLETE
30,30,4.7,0.8,2025-11-20 18:42:49.381243,2025-11-20 18:44:42.136651,0 days 00:01:52.755408,2,0,1,5,5,2,2.2997584414213788,5.186520991955976,COMPLETE
31,31,7.6,1.2999999999999998,2025-11-20 18:44:42.136764,2025-11-20 18:47:10.785586,0 days 00:02:28.648822,4,0,0,5,5,2,1.8287822299126937,2.9514591494904874,COMPLETE
32,32,1.0,1.0,2025-11-20 18:47:10.785731,2025-11-20 18:47:47.127218,0 days 00:00:36.341487,4,0,2,0,4,3,0.0,0.0,COMPLETE
33,33,2.9,3.0999999999999996,2025-11-20 18:47:47.127309,2025-11-20 18:49:20.381809,0 days 00:01:33.254500,4,0,4,1,0,5,1.1972189997378646,0.8755950357709131,COMPLETE
34,34,3.9,3.2,2025-11-20 18:49:20.381917,2025-11-20 18:51:01.328665,0 days 00:01:40.946748,1,0,5,5,5,2,1.7511900715418263,1.5951314818673865,COMPLETE
35,35,2.4,0.6000000000000001,2025-11-20 18:51:01.328777,2025-11-20 18:52:29.638575,0 days 00:01:28.309798,4,0,3,5,1,4,2.1705094128132942,1.7126976771553504,COMPLETE
36,36,2.1,3.4000000000000004,2025-11-20 18:52:29.638686,2025-11-20 18:53:55.085691,0 days 00:01:25.447005,2,0,4,1,0,0,1.2649110640673518,0.31622776601683794,COMPLETE
37,37,2.3,4.0,2025-11-20 18:53:55.085816,2025-11-20 18:55:22.842561,0 days 00:01:27.756745,1,5,0,2,4,5,0.0,0.48304589153964794,COMPLETE
38,38,1.5,1.1,2025-11-20 18:55:22.842672,2025-11-20 18:56:33.297104,0 days 00:01:10.454432,4,0,2,3,5,3,2.3309511649396115,0.5270462766947299,COMPLETE
39,39,1.5,0.9,2025-11-20 18:56:33.297494,2025-11-20 18:57:40.925409,0 days 00:01:07.627915,3,3,1,5,2,2,0.31622776601683794,0.97182531580755,COMPLETE
40,40,1.0,1.0,2025-11-20 18:57:40.925516,2025-11-20 18:58:19.262823,0 days 00:00:38.337307,4,0,3,0,0,4,0.0,0.0,COMPLETE
41,41,4.2,0.0,2025-11-20 18:58:19.262919,2025-11-20 19:00:13.473859,0 days 00:01:54.210940,4,2,0,5,3,2,1.632993161855452,2.820559440174157,COMPLETE
42,42,4.8,0.8999999999999999,2025-11-20 19:00:13.473968,2025-11-20 19:02:21.459475,0 days 00:02:07.985507,4,2,0,5,5,2,1.7919573407620817,1.9321835661585918,COMPLETE
43,43,2.6,4.0,2025-11-20 19:02:21.459586,2025-11-20 19:03:53.680435,0 days 00:01:32.220849,1,2,0,1,3,2,0.0,0.6992058987801011,COMPLETE
44,44,3.6,0.5,2025-11-20 19:03:53.680621,2025-11-20 19:05:41.824655,0 days 00:01:48.144034,2,0,0,5,3,2,1.2692955176439846,3.502380143083653,COMPLETE
45,45,4.0,3.0999999999999996,2025-11-20 19:05:41.824765,2025-11-20 19:07:38.931571,0 days 00:01:57.106806,5,3,4,5,5,5,1.9119507199599983,1.699673171197595,COMPLETE
46,46,2.2,0.9,2025-11-20 19:07:38.931688,2025-11-20 19:09:11.052846,0 days 00:01:32.121158,3,0,0,4,1,0,0.31622776601683794,0.4216370213557839,COMPLETE
47,47,1.6,0.8,2025-11-20 19:09:11.052955,2025-11-20 19:10:25.821704,0 days 00:01:14.768749,4,4,2,3,4,3,2.0976176963403033,0.6992058987801011,COMPLETE
48,48,3.4,0.5,2025-11-20 19:10:25.821814,2025-11-20 19:12:18.548143,0 days 00:01:52.726329,4,5,0,5,3,1,1.2692955176439846,1.07496769977314,COMPLETE
49,49,2.5,3.2,2025-11-20 19:12:18.548263,2025-11-20 19:14:01.478887,0 days 00:01:42.930624,5,2,5,2,5,2,1.7511900715418263,0.8498365855987975,COMPLETE
