,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
29,29,1.0,2025-12-02 14:36:14.052145,2025-12-02 14:36:35.463421,0 days 00:00:21.411276,3,7,,,0,COMPLETE
30,30,10.0,2025-12-02 14:36:35.463538,2025-12-02 14:36:57.603071,0 days 00:00:22.139533,10,7,,,0,COMPLETE
31,31,1.0,2025-12-02 14:36:57.603200,2025-12-02 14:37:23.317068,0 days 00:00:25.713868,7,9,,,0,COMPLETE
32,32,10.0,2025-12-02 14:37:23.317177,2025-12-02 14:37:48.388889,0 days 00:00:25.071712,10,10,,,0,COMPLETE
33,33,1.0,2025-12-02 14:37:48.389002,2025-12-02 14:38:09.373246,0 days 00:00:20.984244,6,9,,,0,COMPLETE
34,34,1.0,2025-12-02 14:38:09.373398,2025-12-02 14:38:33.240472,0 days 00:00:23.867074,6,2,,,0,COMPLETE
35,35,0.0,2025-12-02 14:38:33.240581,2025-12-02 14:38:56.526402,0 days 00:00:23.285821,2,10,,,0,COMPLETE
36,36,10.0,2025-12-02 14:38:56.526508,2025-12-02 14:39:20.874061,0 days 00:00:24.347553,10,5,,,0,COMPLETE
37,37,5.0,2025-12-02 14:39:20.874182,2025-12-02 14:39:47.841761,0 days 00:00:26.967579,7,4,,,0,COMPLETE
38,38,1.0,2025-12-02 14:39:47.841872,2025-12-02 14:40:11.661115,0 days 00:00:23.819243,3,2,,,0,COMPLETE
39,39,1.0,2025-12-02 14:40:11.661221,2025-12-02 14:40:33.952892,0 days 00:00:22.291671,2,1,,,0,COMPLETE
40,40,1.0,2025-12-02 14:40:33.953004,2025-12-02 14:40:55.134117,0 days 00:00:21.181113,6,7,,,0,COMPLETE
41,41,0.0,2025-12-02 14:40:55.134228,2025-12-02 14:41:16.728485,0 days 00:00:21.594257,1,5,,,0,COMPLETE
42,42,10.0,2025-12-02 14:41:16.728593,2025-12-02 14:41:40.619854,0 days 00:00:23.891261,10,7,,,0,COMPLETE
43,43,1.0,2025-12-02 14:41:40.619969,2025-12-02 14:42:02.933384,0 days 00:00:22.313415,1,5,,,0,COMPLETE
