,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
17,17,1.0,2025-12-02 15:13:59.856202,2025-12-02 15:14:22.295865,0 days 00:00:22.439663,3,1,,,0,COMPLETE
18,18,9.0,2025-12-02 15:14:22.295978,2025-12-02 15:14:54.213901,0 days 00:00:31.917923,7,6,,,0,COMPLETE
19,19,10.0,2025-12-02 15:14:54.214023,2025-12-02 15:15:20.458024,0 days 00:00:26.244001,10,1,,,0,COMPLETE
20,20,2.0,2025-12-02 15:15:20.458157,2025-12-02 15:15:47.549471,0 days 00:00:27.091314,8,9,,,0,COMPLETE
21,21,0.0,2025-12-02 15:15:47.549579,2025-12-02 15:16:12.132535,0 days 00:00:24.582956,1,7,,,0,COMPLETE
22,22,2.0,2025-12-02 15:16:12.132656,2025-12-02 15:16:35.905289,0 days 00:00:23.772633,5,1,,,0,COMPLETE
23,23,1.0,2025-12-02 15:16:35.905400,2025-12-02 15:16:57.121946,0 days 00:00:21.216546,8,6,,,0,COMPLETE
24,24,1.0,2025-12-02 15:16:57.122052,2025-12-02 15:17:23.198916,0 days 00:00:26.076864,2,6,,,0,COMPLETE
25,25,1.0,2025-12-02 15:17:23.199024,2025-12-02 15:17:50.250108,0 days 00:00:27.051084,3,9,,,0,COMPLETE
26,26,10.0,2025-12-02 15:17:50.250219,2025-12-02 15:18:40.017864,0 days 00:00:49.767645,10,4,,,0,COMPLETE
27,27,0.0,2025-12-02 15:18:40.017969,2025-12-02 15:19:04.482913,0 days 00:00:24.464944,1,6,,,0,COMPLETE
28,28,1.0,2025-12-02 15:19:04.483021,2025-12-02 15:19:31.893372,0 days 00:00:27.410351,2,3,,,0,COMPLETE
29,29,3.0,2025-12-02 15:19:31.893484,2025-12-02 15:19:58.587354,0 days 00:00:26.693870,7,2,,,0,COMPLETE
30,30,10.0,2025-12-02 15:19:58.587469,2025-12-02 15:20:17.612640,0 days 00:00:19.025171,10,8,,,0,COMPLETE
31,31,10.0,2025-12-02 15:20:17.612745,2025-12-02 15:20:47.816177,0 days 00:00:30.203432,9,3,,,0,COMPLETE
32,32,10.0,2025-12-02 15:20:47.816278,2025-12-02 15:21:25.210447,0 days 00:00:37.394169,10,7,,,0,COMPLETE
33,33,0.0,2025-12-02 15:21:25.210553,2025-12-02 15:21:48.797548,0 days 00:00:23.586995,3,8,,,0,COMPLETE
34,34,1.0,2025-12-02 15:21:48.797680,2025-12-02 15:22:14.671709,0 days 00:00:25.874029,4,7,,,0,COMPLETE
35,35,10.0,2025-12-02 15:22:14.671816,2025-12-02 15:22:47.030327,0 days 00:00:32.358511,10,2,,,0,COMPLETE
36,36,3.0,2025-12-02 15:22:47.030459,2025-12-02 15:23:14.313760,0 days 00:00:27.283301,7,10,,,0,COMPLETE
37,37,1.0,2025-12-02 15:23:14.313876,2025-12-02 15:23:37.776626,0 days 00:00:23.462750,3,9,,,0,COMPLETE
38,38,2.0,2025-12-02 15:23:37.776735,2025-12-02 15:24:02.759857,0 days 00:00:24.983122,6,7,,,0,COMPLETE
39,39,10.0,2025-12-02 15:24:02.759964,2025-12-02 15:24:30.663043,0 days 00:00:27.903079,10,1,,,0,COMPLETE
40,40,0.0,2025-12-02 15:24:30.663156,2025-12-02 15:24:55.041652,0 days 00:00:24.378496,2,5,,,0,COMPLETE
41,41,10.0,2025-12-02 15:24:55.041758,2025-12-02 15:25:22.175835,0 days 00:00:27.134077,10,7,,,0,COMPLETE
42,42,0.0,2025-12-02 15:25:22.175944,2025-12-02 15:25:45.249493,0 days 00:00:23.073549,4,1,,,0,COMPLETE
43,43,10.0,2025-12-02 15:25:45.249601,2025-12-02 15:26:12.064126,0 days 00:00:26.814525,9,5,,,0,COMPLETE
44,44,0.0,2025-12-02 15:26:12.064234,2025-12-02 15:26:36.469521,0 days 00:00:24.405287,2,5,,,0,COMPLETE
45,45,1.0,2025-12-02 15:26:36.469632,2025-12-02 15:27:03.106879,0 days 00:00:26.637247,3,8,,,0,COMPLETE
46,46,9.0,2025-12-02 15:27:03.107015,2025-12-02 15:28:10.563368,0 days 00:01:07.456353,10,2,,,0,COMPLETE
47,47,2.0,2025-12-02 15:28:10.563476,2025-12-02 15:28:33.911537,0 days 00:00:23.348061,7,7,,,0,COMPLETE
48,48,0.0,2025-12-02 15:28:33.911641,2025-12-02 15:29:03.422924,0 days 00:00:29.511283,2,8,,,0,COMPLETE
49,49,10.0,2025-12-02 15:29:03.423040,2025-12-02 15:29:28.470293,0 days 00:00:25.047253,10,1,,,0,COMPLETE
50,50,2.0,2025-12-02 15:29:28.470405,2025-12-02 15:29:55.189022,0 days 00:00:26.718617,4,1,,,1,COMPLETE
51,51,4.0,2025-12-02 15:29:55.189142,2025-12-02 15:30:19.780917,0 days 00:00:24.591775,8,7,,,1,COMPLETE
52,52,3.0,2025-12-02 15:30:19.781044,2025-12-02 15:30:47.983460,0 days 00:00:28.202416,5,8,,,1,COMPLETE
53,53,10.0,2025-12-02 15:30:47.983575,2025-12-02 15:31:18.286698,0 days 00:00:30.303123,10,5,,,1,COMPLETE
54,54,10.0,2025-12-02 15:31:18.286810,2025-12-02 15:31:53.611171,0 days 00:00:35.324361,10,10,,,1,COMPLETE
55,55,1.0,2025-12-02 15:31:53.611280,2025-12-02 15:32:18.454875,0 days 00:00:24.843595,2,5,,,1,COMPLETE
56,56,0.0,2025-12-02 15:32:18.455025,2025-12-02 15:32:42.934484,0 days 00:00:24.479459,1,2,,,1,COMPLETE
57,57,10.0,2025-12-02 15:32:42.934603,2025-12-02 15:33:11.706586,0 days 00:00:28.771983,10,7,,,1,COMPLETE
58,58,0.0,2025-12-02 15:33:11.706702,2025-12-02 15:33:37.408861,0 days 00:00:25.702159,3,7,,,1,COMPLETE
59,59,1.0,2025-12-02 15:33:37.408969,2025-12-02 15:34:00.138766,0 days 00:00:22.729797,7,5,,,1,COMPLETE
60,60,10.0,2025-12-02 15:34:00.138882,2025-12-02 15:34:26.502410,0 days 00:00:26.363528,9,6,,,1,COMPLETE
61,61,10.0,2025-12-02 15:34:26.502520,2025-12-02 15:34:53.507342,0 days 00:00:27.004822,10,7,,,1,COMPLETE
62,62,1.0,2025-12-02 15:34:53.507454,2025-12-02 15:35:20.628158,0 days 00:00:27.120704,4,7,,,1,COMPLETE
63,63,1.0,2025-12-02 15:35:20.628272,2025-12-02 15:35:44.402716,0 days 00:00:23.774444,8,2,,,1,COMPLETE
64,64,10.0,2025-12-02 15:35:44.402823,2025-12-02 15:36:14.653478,0 days 00:00:30.250655,10,4,,,1,COMPLETE
65,65,10.0,2025-12-02 15:36:14.653585,2025-12-02 15:36:42.445970,0 days 00:00:27.792385,9,1,,,1,COMPLETE
66,66,4.0,2025-12-02 15:36:42.446078,2025-12-02 15:37:09.496262,0 days 00:00:27.050184,7,6,,,1,COMPLETE
67,67,10.0,2025-12-02 15:37:09.496365,2025-12-02 15:37:30.438803,0 days 00:00:20.942438,9,4,,,1,COMPLETE
68,68,10.0,2025-12-02 15:37:30.438914,2025-12-02 15:37:55.353865,0 days 00:00:24.914951,10,5,,,1,COMPLETE
69,69,10.0,2025-12-02 15:37:55.353973,2025-12-02 15:38:24.464470,0 days 00:00:29.110497,10,6,,,1,COMPLETE
70,70,4.0,2025-12-02 15:38:24.464576,2025-12-02 15:38:54.573714,0 days 00:00:30.109138,4,3,,,1,COMPLETE
71,71,1.0,2025-12-02 15:38:54.573815,2025-12-02 15:39:19.494545,0 days 00:00:24.920730,5,1,,,1,COMPLETE
72,72,0.0,2025-12-02 15:39:19.494648,2025-12-02 15:39:43.701863,0 days 00:00:24.207215,5,7,,,1,COMPLETE
73,73,1.0,2025-12-02 15:39:43.701966,2025-12-02 15:40:09.677780,0 days 00:00:25.975814,3,1,,,1,COMPLETE
74,74,0.0,2025-12-02 15:40:09.679137,2025-12-02 15:40:36.320886,0 days 00:00:26.641749,3,10,,,1,COMPLETE
75,75,10.0,2025-12-02 15:40:36.321122,2025-12-02 15:41:14.603455,0 days 00:00:38.282333,10,3,,,1,COMPLETE
76,76,10.0,2025-12-02 15:41:14.603567,2025-12-02 15:41:45.521179,0 days 00:00:30.917612,10,1,,,1,COMPLETE
77,77,0.0,2025-12-02 15:41:45.521291,2025-12-02 15:42:12.018598,0 days 00:00:26.497307,2,5,,,1,COMPLETE
78,78,2.0,2025-12-02 15:42:12.018725,2025-12-02 15:42:39.462703,0 days 00:00:27.443978,5,4,,,1,COMPLETE
79,79,1.0,2025-12-02 15:42:39.464040,2025-12-02 15:43:05.034996,0 days 00:00:25.570956,3,9,,,1,COMPLETE
80,80,10.0,2025-12-02 15:43:05.035112,2025-12-02 15:43:30.493575,0 days 00:00:25.458463,9,3,,,1,COMPLETE
81,81,9.0,2025-12-02 15:43:30.493683,2025-12-02 15:44:41.804058,0 days 00:01:11.310375,9,10,,,1,COMPLETE
82,82,1.0,2025-12-02 15:44:41.804175,2025-12-02 15:45:08.852826,0 days 00:00:27.048651,4,6,,,1,COMPLETE
83,83,10.0,2025-12-02 15:45:08.852937,2025-12-02 15:45:40.503401,0 days 00:00:31.650464,9,5,,,1,COMPLETE
84,84,1.0,2025-12-02 15:45:40.503508,2025-12-02 15:46:05.688496,0 days 00:00:25.184988,2,2,,,1,COMPLETE
85,85,10.0,2025-12-02 15:46:05.688607,2025-12-02 15:46:31.055296,0 days 00:00:25.366689,9,3,,,1,COMPLETE
86,86,0.0,2025-12-02 15:46:31.055480,2025-12-02 15:46:56.203060,0 days 00:00:25.147580,4,2,,,1,COMPLETE
87,87,2.0,2025-12-02 15:46:56.203183,2025-12-02 15:47:20.335651,0 days 00:00:24.132468,6,1,,,1,COMPLETE
88,88,5.0,2025-12-02 15:47:20.335762,2025-12-02 15:47:51.575784,0 days 00:00:31.240022,6,7,,,1,COMPLETE
89,89,1.0,2025-12-02 15:47:51.575897,2025-12-02 15:48:17.648059,0 days 00:00:26.072162,8,8,,,1,COMPLETE
90,90,10.0,2025-12-02 15:48:17.648168,2025-12-02 15:49:04.622426,0 days 00:00:46.974258,10,7,,,1,COMPLETE
91,91,1.0,2025-12-02 15:49:04.622549,2025-12-02 15:49:29.914811,0 days 00:00:25.292262,8,9,,,1,COMPLETE
92,92,3.0,2025-12-02 15:49:29.914919,2025-12-02 15:49:55.875847,0 days 00:00:25.960928,8,1,,,1,COMPLETE
93,93,0.0,2025-12-02 15:49:55.875949,2025-12-02 15:50:21.024541,0 days 00:00:25.148592,2,6,,,1,COMPLETE
94,94,3.0,2025-12-02 15:50:21.024681,2025-12-02 15:50:51.183079,0 days 00:00:30.158398,7,5,,,1,COMPLETE
95,95,1.0,2025-12-02 15:50:51.183278,2025-12-02 15:51:18.274560,0 days 00:00:27.091282,4,7,,,1,COMPLETE
96,96,10.0,2025-12-02 15:51:18.274675,2025-12-02 15:51:41.310755,0 days 00:00:23.036080,10,3,,,1,COMPLETE
97,97,9.0,2025-12-02 15:51:41.310904,2025-12-02 15:52:49.797451,0 days 00:01:08.486547,10,7,,,1,COMPLETE
98,98,10.0,2025-12-02 15:52:49.797560,2025-12-02 15:53:08.631684,0 days 00:00:18.834124,9,5,,,1,COMPLETE
99,99,3.0,2025-12-02 15:53:08.631784,2025-12-02 15:53:38.213321,0 days 00:00:29.581537,8,1,,,1,COMPLETE
