,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
0,0,10.0,2025-12-02 15:05:33.832515,2025-12-02 15:05:55.976637,0 days 00:00:22.144122,10,8,,,0,COMPLETE
1,1,10.0,2025-12-02 15:05:55.976757,2025-12-02 15:06:40.596974,0 days 00:00:44.620217,10,5,,,0,COMPLETE
2,2,10.0,2025-12-02 15:06:40.597099,2025-12-02 15:07:27.200821,0 days 00:00:46.603722,9,8,,,0,COMPLETE
3,3,1.0,2025-12-02 15:07:27.200932,2025-12-02 15:07:53.641748,0 days 00:00:26.440816,3,3,,,0,COMPLETE
4,4,10.0,2025-12-02 15:07:53.641857,2025-12-02 15:08:20.508652,0 days 00:00:26.866795,9,7,,,0,COMPLETE
5,5,3.0,2025-12-02 15:08:20.508768,2025-12-02 15:08:47.628497,0 days 00:00:27.119729,7,7,,,0,COMPLETE
6,6,0.0,2025-12-02 15:08:47.628648,2025-12-02 15:09:08.754393,0 days 00:00:21.125745,2,1,,,0,COMPLETE
7,7,0.0,2025-12-02 15:09:08.754494,2025-12-02 15:09:33.423608,0 days 00:00:24.669114,6,1,,,0,COMPLETE
8,8,10.0,2025-12-02 15:09:33.423722,2025-12-02 15:09:55.619859,0 days 00:00:22.196137,9,7,,,0,COMPLETE
9,9,2.0,2025-12-02 15:09:55.619963,2025-12-02 15:10:21.867756,0 days 00:00:26.247793,6,4,,,0,COMPLETE
10,10,9.0,2025-12-02 15:10:21.867877,2025-12-02 15:11:28.907682,0 days 00:01:07.039805,10,4,,,0,COMPLETE
11,11,0.0,2025-12-02 15:11:28.907792,2025-12-02 15:11:52.443405,0 days 00:00:23.535613,1,6,,,0,COMPLETE
12,12,4.0,2025-12-02 15:11:52.443510,2025-12-02 15:12:21.912911,0 days 00:00:29.469401,8,2,,,0,COMPLETE
13,13,0.0,2025-12-02 15:12:21.913021,2025-12-02 15:12:45.897664,0 days 00:00:23.984643,1,2,,,0,COMPLETE
14,14,2.0,2025-12-02 15:12:45.897772,2025-12-02 15:13:10.767172,0 days 00:00:24.869400,4,1,,,0,COMPLETE
15,15,1.0,2025-12-02 15:13:10.767272,2025-12-02 15:13:34.612564,0 days 00:00:23.845292,3,8,,,0,COMPLETE
16,16,2.0,2025-12-02 15:13:34.612668,2025-12-02 15:13:59.856074,0 days 00:00:25.243406,4,1,,,0,COMPLETE
