,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,state
47,47,1.0,2025-12-02 12:23:22.749422,2025-12-02 12:23:44.695935,0 days 00:00:21.946513,5,1,,,COMPLETE
48,48,3.0,2025-12-02 12:23:44.696046,2025-12-02 12:24:07.257602,0 days 00:00:22.561556,7,8,,,COMPLETE
49,49,1.0,2025-12-02 12:24:07.257728,2025-12-02 12:24:27.137559,0 days 00:00:19.879831,4,8,,,COMPLETE
50,50,1.0,2025-12-02 12:24:27.137678,2025-12-02 12:24:48.028327,0 days 00:00:20.890649,7,5,,,COMPLETE
51,51,10.0,2025-12-02 12:24:48.028455,2025-12-02 12:25:08.972034,0 days 00:00:20.943579,9,3,,,COMPLETE
52,52,10.0,2025-12-02 12:25:08.972149,2025-12-02 12:25:34.649859,0 days 00:00:25.677710,10,3,,,COMPLETE
53,53,10.0,2025-12-02 12:25:34.649966,2025-12-02 12:26:01.931255,0 days 00:00:27.281289,9,6,,,COMPLETE
54,54,2.0,2025-12-02 12:26:01.931360,2025-12-02 12:26:20.874282,0 days 00:00:18.942922,6,7,,,COMPLETE
55,55,1.0,2025-12-02 12:26:20.874398,2025-12-02 12:26:41.862816,0 days 00:00:20.988418,3,10,,,COMPLETE
56,56,3.0,2025-12-02 12:26:41.862944,2025-12-02 12:27:05.429010,0 days 00:00:23.566066,6,4,,,COMPLETE
57,57,0.0,2025-12-02 12:27:05.429166,2025-12-02 12:27:24.345253,0 days 00:00:18.916087,1,9,,,COMPLETE
58,58,5.0,2025-12-02 12:27:24.345389,2025-12-02 12:27:49.869485,0 days 00:00:25.524096,7,5,,,COMPLETE
59,59,5.0,2025-12-02 12:27:49.869622,2025-12-02 12:28:15.590321,0 days 00:00:25.720699,6,10,,,COMPLETE
60,60,0.0,2025-12-02 12:28:15.590428,2025-12-02 12:28:37.341489,0 days 00:00:21.751061,5,1,,,COMPLETE
61,61,10.0,2025-12-02 12:28:37.341599,2025-12-02 12:28:58.241231,0 days 00:00:20.899632,9,10,,,COMPLETE
62,62,3.0,2025-12-02 12:28:58.241451,2025-12-02 12:29:22.407759,0 days 00:00:24.166308,6,2,,,COMPLETE
63,63,10.0,2025-12-02 12:29:22.407905,2025-12-02 12:29:43.204170,0 days 00:00:20.796265,10,3,,,COMPLETE
64,64,3.0,2025-12-02 12:29:43.204325,2025-12-02 12:30:05.872094,0 days 00:00:22.667769,6,6,,,COMPLETE
65,65,0.0,2025-12-02 12:30:05.872195,2025-12-02 12:30:25.955126,0 days 00:00:20.082931,6,4,,,COMPLETE
66,66,1.0,2025-12-02 12:30:25.955247,2025-12-02 12:30:48.405201,0 days 00:00:22.449954,5,3,,,COMPLETE
67,67,0.0,2025-12-02 12:30:48.405323,2025-12-02 12:31:11.370039,0 days 00:00:22.964716,1,9,,,COMPLETE
68,68,3.0,2025-12-02 12:31:11.370162,2025-12-02 12:31:34.267850,0 days 00:00:22.897688,5,7,,,COMPLETE
69,69,1.0,2025-12-02 12:31:34.267965,2025-12-02 12:31:53.769618,0 days 00:00:19.501653,4,4,,,COMPLETE
70,70,2.0,2025-12-02 12:31:53.769738,2025-12-02 12:32:13.239874,0 days 00:00:19.470136,5,2,,,COMPLETE
71,71,0.0,2025-12-02 12:32:13.240285,2025-12-02 12:32:34.353425,0 days 00:00:21.113140,3,3,,,COMPLETE
72,72,10.0,2025-12-02 12:32:34.353538,2025-12-02 12:33:17.438014,0 days 00:00:43.084476,10,4,,,COMPLETE
73,73,0.0,2025-12-02 12:33:17.438123,2025-12-02 12:33:36.180500,0 days 00:00:18.742377,1,9,,,COMPLETE
74,74,1.0,2025-12-02 12:33:36.180626,2025-12-02 12:33:57.544334,0 days 00:00:21.363708,2,8,,,COMPLETE
75,75,10.0,2025-12-02 12:33:57.544448,2025-12-02 12:34:21.839428,0 days 00:00:24.294980,9,4,,,COMPLETE
76,76,0.0,2025-12-02 12:34:21.839544,2025-12-02 12:34:41.971817,0 days 00:00:20.132273,2,8,,,COMPLETE
77,77,0.0,2025-12-02 12:34:41.971935,2025-12-02 12:35:03.193390,0 days 00:00:21.221455,1,4,,,COMPLETE
78,78,0.0,2025-12-02 12:35:03.193503,2025-12-02 12:35:23.210002,0 days 00:00:20.016499,5,1,,,COMPLETE
79,79,10.0,2025-12-02 12:35:23.210129,2025-12-02 12:35:45.651570,0 days 00:00:22.441441,10,7,,,COMPLETE
80,80,2.0,2025-12-02 12:35:45.651690,2025-12-02 12:36:08.253483,0 days 00:00:22.601793,5,7,,,COMPLETE
81,81,2.0,2025-12-02 12:36:08.253593,2025-12-02 12:36:32.293457,0 days 00:00:24.039864,3,8,,,COMPLETE
82,82,3.0,2025-12-02 12:36:32.293564,2025-12-02 12:36:54.928148,0 days 00:00:22.634584,8,6,,,COMPLETE
83,83,1.0,2025-12-02 12:36:54.928275,2025-12-02 12:37:14.278858,0 days 00:00:19.350583,5,5,,,COMPLETE
84,84,0.0,2025-12-02 12:37:14.278967,2025-12-02 12:37:35.325268,0 days 00:00:21.046301,2,4,,,COMPLETE
85,85,10.0,2025-12-02 12:37:35.325383,2025-12-02 12:37:54.470734,0 days 00:00:19.145351,9,6,,,COMPLETE
86,86,0.0,2025-12-02 12:37:54.470857,2025-12-02 12:38:15.195712,0 days 00:00:20.724855,1,8,,,COMPLETE
87,87,1.0,2025-12-02 12:38:15.195834,2025-12-02 12:38:34.732432,0 days 00:00:19.536598,7,3,,,COMPLETE
88,88,0.0,2025-12-02 12:38:34.732555,2025-12-02 12:38:59.656661,0 days 00:00:24.924106,2,2,,,COMPLETE
89,89,2.0,2025-12-02 12:38:59.656781,2025-12-02 12:39:21.219264,0 days 00:00:21.562483,8,8,,,COMPLETE
90,90,4.0,2025-12-02 12:39:21.219373,2025-12-02 12:39:45.043441,0 days 00:00:23.824068,5,5,,,COMPLETE
91,91,5.0,2025-12-02 12:39:45.043571,2025-12-02 12:40:10.882461,0 days 00:00:25.838890,8,9,,,COMPLETE
92,92,0.0,2025-12-02 12:40:10.882576,2025-12-02 12:40:32.476887,0 days 00:00:21.594311,1,10,,,COMPLETE
93,93,0.0,2025-12-02 12:40:32.476995,2025-12-02 12:40:53.115690,0 days 00:00:20.638695,1,5,,,COMPLETE
94,94,10.0,2025-12-02 12:40:53.115805,2025-12-02 12:41:15.656826,0 days 00:00:22.541021,10,8,,,COMPLETE
95,95,1.0,2025-12-02 12:41:15.656934,2025-12-02 12:41:34.905413,0 days 00:00:19.248479,7,9,,,COMPLETE
96,96,2.0,2025-12-02 12:41:34.905516,2025-12-02 12:41:55.999100,0 days 00:00:21.093584,7,10,,,COMPLETE
97,97,0.0,2025-12-02 12:41:55.999231,2025-12-02 12:42:15.395178,0 days 00:00:19.395947,2,4,,,COMPLETE
98,98,0.0,2025-12-02 12:42:15.395303,2025-12-02 12:42:36.142030,0 days 00:00:20.746727,1,1,,,COMPLETE
99,99,0.0,2025-12-02 12:42:36.142160,2025-12-02 12:43:00.219437,0 days 00:00:24.077277,1,5,,,COMPLETE
