,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,state
0,0,3.0,2025-12-02 11:26:59.852261,2025-12-02 11:27:18.285335,0 days 00:00:18.433074,5,2,,,COMPLETE
1,1,2.0,2025-12-02 11:27:18.285445,2025-12-02 11:27:36.051195,0 days 00:00:17.765750,4,7,,,COMPLETE
2,2,10.0,2025-12-02 11:27:36.051320,2025-12-02 11:27:53.049746,0 days 00:00:16.998426,10,2,,,COMPLETE
3,3,4.0,2025-12-02 11:27:53.049860,2025-12-02 11:28:11.925364,0 days 00:00:18.875504,8,6,,,COMPLETE
4,4,0.0,2025-12-02 11:28:11.925472,2025-12-02 11:28:27.390839,0 days 00:00:15.465367,1,4,,,COMPLETE
5,5,0.0,2025-12-02 11:28:27.390948,2025-12-02 11:28:44.161584,0 days 00:00:16.770636,3,7,,,COMPLETE
6,6,10.0,2025-12-02 11:28:44.161697,2025-12-02 11:28:56.231386,0 days 00:00:12.069689,9,7,,,COMPLETE
7,7,2.0,2025-12-02 11:28:56.231537,2025-12-02 11:29:13.442170,0 days 00:00:17.210633,5,10,,,COMPLETE
8,8,0.0,2025-12-02 11:29:13.442283,2025-12-02 11:29:31.568976,0 days 00:00:18.126693,1,7,,,COMPLETE
9,9,4.0,2025-12-02 11:29:31.569087,2025-12-02 11:29:51.150010,0 days 00:00:19.580923,4,4,,,COMPLETE
10,10,10.0,2025-12-02 11:29:51.150146,2025-12-02 11:30:11.375470,0 days 00:00:20.225324,10,8,,,COMPLETE
11,11,9.0,2025-12-02 11:30:11.375583,2025-12-02 11:31:00.488347,0 days 00:00:49.112764,9,3,,,COMPLETE
12,12,10.0,2025-12-02 11:31:00.488458,2025-12-02 11:31:18.892566,0 days 00:00:18.404108,9,5,,,COMPLETE
13,13,10.0,2025-12-02 11:31:18.892671,2025-12-02 11:31:33.894364,0 days 00:00:15.001693,10,2,,,COMPLETE
14,14,2.0,2025-12-02 11:31:33.894475,2025-12-02 11:31:50.032942,0 days 00:00:16.138467,6,9,,,COMPLETE
15,15,0.0,2025-12-02 11:31:50.033050,2025-12-02 11:32:09.334301,0 days 00:00:19.301251,2,1,,,COMPLETE
16,16,3.0,2025-12-02 11:32:09.334459,2025-12-02 11:32:27.430416,0 days 00:00:18.095957,7,2,,,COMPLETE
17,17,10.0,2025-12-02 11:32:27.430520,2025-12-02 11:32:44.072855,0 days 00:00:16.642335,10,5,,,COMPLETE
18,18,10.0,2025-12-02 11:32:44.072964,2025-12-02 11:32:56.246077,0 days 00:00:12.173113,9,8,,,COMPLETE
19,19,6.0,2025-12-02 11:32:56.246204,2025-12-02 11:33:16.448431,0 days 00:00:20.202227,7,10,,,COMPLETE
20,20,4.0,2025-12-02 11:33:16.448536,2025-12-02 11:33:35.897495,0 days 00:00:19.448959,8,9,,,COMPLETE
21,21,10.0,2025-12-02 11:33:35.897603,2025-12-02 11:33:53.640337,0 days 00:00:17.742734,10,8,,,COMPLETE
22,22,10.0,2025-12-02 11:33:53.640439,2025-12-02 11:34:09.329841,0 days 00:00:15.689402,10,8,,,COMPLETE
23,23,10.0,2025-12-02 11:34:09.329945,2025-12-02 11:34:27.872778,0 days 00:00:18.542833,10,6,,,COMPLETE
24,24,0.0,2025-12-02 11:34:27.872890,2025-12-02 11:34:42.481309,0 days 00:00:14.608419,6,3,,,COMPLETE
25,25,2.0,2025-12-02 11:34:42.481420,2025-12-02 11:35:00.628282,0 days 00:00:18.146862,3,1,,,COMPLETE
26,26,10.0,2025-12-02 11:35:00.628383,2025-12-02 11:35:18.971643,0 days 00:00:18.343260,9,7,,,COMPLETE
27,27,0.0,2025-12-02 11:35:18.971748,2025-12-02 11:35:35.029909,0 days 00:00:16.058161,2,2,,,COMPLETE
28,28,10.0,2025-12-02 11:35:35.030020,2025-12-02 11:35:55.923310,0 days 00:00:20.893290,10,8,,,COMPLETE
29,29,10.0,2025-12-02 11:35:55.923413,2025-12-02 11:36:14.289921,0 days 00:00:18.366508,10,2,,,COMPLETE
30,30,2.0,2025-12-02 11:36:14.290029,2025-12-02 11:36:33.294269,0 days 00:00:19.004240,5,8,,,COMPLETE
31,31,10.0,2025-12-02 11:36:33.294414,2025-12-02 11:36:53.515815,0 days 00:00:20.221401,9,5,,,COMPLETE
32,32,10.0,2025-12-02 11:36:53.515928,2025-12-02 11:37:18.719146,0 days 00:00:25.203218,9,5,,,COMPLETE
