,number,value,datetime_start,datetime_complete,duration,params_playerShotDamage,params_playerShotRange,user_attrs_lost_players_std,user_attrs_rounds_std,state
33,33,10.0,2025-12-02 11:37:18.719255,2025-12-02 11:37:30.835269,0 days 00:00:12.116014,9,5,,,COMPLETE
34,34,0.0,2025-12-02 11:37:30.835384,2025-12-02 11:37:48.332792,0 days 00:00:17.497408,4,7,,,COMPLETE
35,35,3.0,2025-12-02 11:37:48.333030,2025-12-02 11:38:12.543389,0 days 00:00:24.210359,8,6,,,COMPLETE
36,36,9.0,2025-12-02 11:38:12.543499,2025-12-02 11:39:00.280005,0 days 00:00:47.736506,9,4,,,COMPLETE
37,37,0.0,2025-12-02 11:39:00.280134,2025-12-02 11:39:15.696760,0 days 00:00:15.416626,1,7,,,COMPLETE
38,38,0.0,2025-12-02 11:39:15.696867,2025-12-02 11:39:32.931136,0 days 00:00:17.234269,3,5,,,COMPLETE
39,39,3.0,2025-12-02 11:39:32.931244,2025-12-02 11:39:54.907660,0 days 00:00:21.976416,5,10,,,COMPLETE
40,40,10.0,2025-12-02 11:39:54.907771,2025-12-02 11:40:17.398169,0 days 00:00:22.490398,9,2,,,COMPLETE
41,41,9.0,2025-12-02 11:40:17.398328,2025-12-02 11:41:11.425587,0 days 00:00:54.027259,10,2,,,COMPLETE
42,42,9.0,2025-12-02 11:41:11.425714,2025-12-02 11:42:07.100756,0 days 00:00:55.675042,10,2,,,COMPLETE
43,43,10.0,2025-12-02 11:42:07.100869,2025-12-02 11:42:30.990847,0 days 00:00:23.889978,10,2,,,COMPLETE
44,44,2.0,2025-12-02 11:42:30.991018,2025-12-02 11:42:51.193320,0 days 00:00:20.202302,4,7,,,COMPLETE
45,45,0.0,2025-12-02 11:42:51.193448,2025-12-02 11:43:07.619006,0 days 00:00:16.425558,6,3,,,COMPLETE
46,46,0.0,2025-12-02 11:43:07.619128,2025-12-02 11:43:24.778995,0 days 00:00:17.159867,1,9,,,COMPLETE
47,47,3.0,2025-12-02 11:43:24.779112,2025-12-02 11:43:46.014606,0 days 00:00:21.235494,7,1,,,COMPLETE
48,48,10.0,2025-12-02 11:43:46.014741,2025-12-02 11:44:03.098330,0 days 00:00:17.083589,10,4,,,COMPLETE
49,49,0.0,2025-12-02 11:44:03.098433,2025-12-02 11:44:20.611124,0 days 00:00:17.512691,2,2,,,COMPLETE
50,50,10.0,2025-12-02 11:44:20.611230,2025-12-02 11:44:38.627236,0 days 00:00:18.016006,10,8,,,COMPLETE
51,51,10.0,2025-12-02 11:44:38.627343,2025-12-02 11:44:56.923880,0 days 00:00:18.296537,10,5,,,COMPLETE
52,52,10.0,2025-12-02 11:44:56.923996,2025-12-02 11:45:17.582321,0 days 00:00:20.658325,10,5,,,COMPLETE
53,53,9.0,2025-12-02 11:45:17.582430,2025-12-02 11:46:10.623979,0 days 00:00:53.041549,10,5,,,COMPLETE
54,54,3.0,2025-12-02 11:46:10.624112,2025-12-02 11:46:28.804697,0 days 00:00:18.180585,8,10,,,COMPLETE
55,55,10.0,2025-12-02 11:46:28.804807,2025-12-02 11:46:47.939168,0 days 00:00:19.134361,9,6,,,COMPLETE
56,56,10.0,2025-12-02 11:46:47.939272,2025-12-02 11:47:03.230165,0 days 00:00:15.290893,10,7,,,COMPLETE
57,57,10.0,2025-12-02 11:47:03.230270,2025-12-02 11:47:23.450777,0 days 00:00:20.220507,10,5,,,COMPLETE
58,58,0.0,2025-12-02 11:47:23.450882,2025-12-02 11:47:40.827692,0 days 00:00:17.376810,3,9,,,COMPLETE
59,59,3.0,2025-12-02 11:47:40.827809,2025-12-02 11:47:58.583882,0 days 00:00:17.756073,7,8,,,COMPLETE
60,60,3.0,2025-12-02 11:47:58.584012,2025-12-02 11:48:18.647753,0 days 00:00:20.063741,5,2,,,COMPLETE
61,61,10.0,2025-12-02 11:48:18.647911,2025-12-02 11:48:39.324584,0 days 00:00:20.676673,9,8,,,COMPLETE
62,62,10.0,2025-12-02 11:48:39.324695,2025-12-02 11:49:02.409931,0 days 00:00:23.085236,9,8,,,COMPLETE
63,63,10.0,2025-12-02 11:49:02.410037,2025-12-02 11:49:22.774712,0 days 00:00:20.364675,9,8,,,COMPLETE
64,64,5.0,2025-12-02 11:49:22.774847,2025-12-02 11:49:44.453201,0 days 00:00:21.678354,6,3,,,COMPLETE
65,65,10.0,2025-12-02 11:49:44.453323,2025-12-02 11:49:58.035256,0 days 00:00:13.581933,9,8,,,COMPLETE
66,66,0.0,2025-12-02 11:49:58.035379,2025-12-02 11:50:15.377939,0 days 00:00:17.342560,2,5,,,COMPLETE
67,67,10.0,2025-12-02 11:50:15.378058,2025-12-02 11:50:49.419768,0 days 00:00:34.041710,9,1,,,COMPLETE
68,68,1.0,2025-12-02 11:50:49.419902,2025-12-02 11:51:07.965291,0 days 00:00:18.545389,4,7,,,COMPLETE
69,69,10.0,2025-12-02 11:51:07.965432,2025-12-02 11:51:24.978685,0 days 00:00:17.013253,10,2,,,COMPLETE
70,70,0.0,2025-12-02 11:51:24.978791,2025-12-02 11:51:41.821687,0 days 00:00:16.842896,1,4,,,COMPLETE
71,71,10.0,2025-12-02 11:51:41.821797,2025-12-02 11:52:01.870693,0 days 00:00:20.048896,10,8,,,COMPLETE
72,72,9.0,2025-12-02 11:52:01.870810,2025-12-02 11:52:58.259677,0 days 00:00:56.388867,10,8,,,COMPLETE
73,73,10.0,2025-12-02 11:52:58.259801,2025-12-02 11:53:33.419777,0 days 00:00:35.159976,10,8,,,COMPLETE
74,74,1.0,2025-12-02 11:53:33.419894,2025-12-02 11:53:49.371806,0 days 00:00:15.951912,8,6,,,COMPLETE
75,75,9.0,2025-12-02 11:53:49.372151,2025-12-02 11:54:45.846492,0 days 00:00:56.474341,9,5,,,COMPLETE
76,76,10.0,2025-12-02 11:54:45.846622,2025-12-02 11:55:23.391352,0 days 00:00:37.544730,10,2,,,COMPLETE
77,77,1.0,2025-12-02 11:55:23.391472,2025-12-02 11:55:42.301479,0 days 00:00:18.910007,3,7,,,COMPLETE
78,78,10.0,2025-12-02 11:55:42.301621,2025-12-02 11:56:01.479954,0 days 00:00:19.178333,10,10,,,COMPLETE
79,79,10.0,2025-12-02 11:56:01.480079,2025-12-02 11:56:38.213642,0 days 00:00:36.733563,9,8,,,COMPLETE
80,80,2.0,2025-12-02 11:56:38.213761,2025-12-02 11:56:58.639827,0 days 00:00:20.426066,5,2,,,COMPLETE
81,81,9.0,2025-12-02 11:56:58.639945,2025-12-02 11:57:52.509592,0 days 00:00:53.869647,10,8,,,COMPLETE
82,82,10.0,2025-12-02 11:57:52.509738,2025-12-02 11:58:13.006481,0 days 00:00:20.496743,10,8,,,COMPLETE
83,83,10.0,2025-12-02 11:58:13.006605,2025-12-02 11:58:37.825850,0 days 00:00:24.819245,10,8,,,COMPLETE
84,84,10.0,2025-12-02 11:58:37.825963,2025-12-02 11:58:57.428175,0 days 00:00:19.602212,10,5,,,COMPLETE
85,85,3.0,2025-12-02 11:58:57.428301,2025-12-02 11:59:17.775586,0 days 00:00:20.347285,6,9,,,COMPLETE
86,86,2.0,2025-12-02 11:59:17.775698,2025-12-02 11:59:34.857771,0 days 00:00:17.082073,7,3,,,COMPLETE
87,87,9.0,2025-12-02 11:59:34.857889,2025-12-02 12:00:29.655443,0 days 00:00:54.797554,10,8,,,COMPLETE
88,88,0.0,2025-12-02 12:00:29.655615,2025-12-02 12:00:50.369553,0 days 00:00:20.713938,2,1,,,COMPLETE
89,89,9.0,2025-12-02 12:00:50.369679,2025-12-02 12:01:43.762214,0 days 00:00:53.392535,9,7,,,COMPLETE
90,90,1.0,2025-12-02 12:01:43.762344,2025-12-02 12:02:01.421930,0 days 00:00:17.659586,4,2,,,COMPLETE
91,91,10.0,2025-12-02 12:02:01.422054,2025-12-02 12:02:18.820456,0 days 00:00:17.398402,10,6,,,COMPLETE
92,92,9.0,2025-12-02 12:02:18.820571,2025-12-02 12:03:14.800914,0 days 00:00:55.980343,10,6,,,COMPLETE
93,93,10.0,2025-12-02 12:03:14.801036,2025-12-02 12:03:33.806054,0 days 00:00:19.005018,10,6,,,COMPLETE
94,94,10.0,2025-12-02 12:03:33.806204,2025-12-02 12:03:53.195049,0 days 00:00:19.388845,10,5,,,COMPLETE
95,95,0.0,2025-12-02 12:03:53.195183,2025-12-02 12:04:12.200081,0 days 00:00:19.004898,1,4,,,COMPLETE
96,96,9.0,2025-12-02 12:04:12.200202,2025-12-02 12:05:05.237274,0 days 00:00:53.037072,9,8,,,COMPLETE
97,97,10.0,2025-12-02 12:05:05.237409,2025-12-02 12:05:19.177351,0 days 00:00:13.939942,10,6,,,COMPLETE
98,98,2.0,2025-12-02 12:05:19.177479,2025-12-02 12:05:40.845433,0 days 00:00:21.667954,8,2,,,COMPLETE
99,99,10.0,2025-12-02 12:05:40.845546,2025-12-02 12:05:56.958338,0 days 00:00:16.112792,10,5,,,COMPLETE
