,number,value,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,state
0,0,2.0,2025-10-24 10:48:44.585656,2025-10-24 10:49:26.253895,0 days 00:00:41.668239,3,4,3,1,1,4,COMPLETE
1,1,3.0,2025-10-24 10:49:26.254398,2025-10-24 10:50:14.784040,0 days 00:00:48.529642,5,0,4,4,3,3,COMPLETE
2,2,3.3333333333333335,2025-10-24 10:50:14.784152,2025-10-24 10:51:04.404660,0 days 00:00:49.620508,5,1,0,2,2,3,COMPLETE
3,3,3.6666666666666665,2025-10-24 10:51:04.404767,2025-10-24 10:51:49.078833,0 days 00:00:44.674066,2,2,3,5,0,3,COMPLETE
4,4,1.0,2025-10-24 10:51:49.078948,2025-10-24 10:52:11.114018,0 days 00:00:22.035070,2,3,5,0,1,4,COMPLETE
5,5,1.0,2025-10-24 10:52:11.114124,2025-10-24 10:52:32.780244,0 days 00:00:21.666120,3,0,2,0,3,0,COMPLETE
6,6,3.3333333333333335,2025-10-24 10:52:32.780354,2025-10-24 10:53:24.228023,0 days 00:00:51.447669,3,0,4,1,0,3,COMPLETE
7,7,3.0,2025-10-24 10:53:24.228174,2025-10-24 10:54:09.108764,0 days 00:00:44.880590,5,2,2,3,2,3,COMPLETE
8,8,2.0,2025-10-24 10:54:09.109349,2025-10-24 10:54:56.058144,0 days 00:00:46.948795,4,3,5,1,0,0,COMPLETE
9,9,1.0,2025-10-24 10:54:56.058264,2025-10-24 10:55:18.594972,0 days 00:00:22.536708,2,0,5,0,2,2,COMPLETE
10,10,5.333333333333333,2025-10-24 10:55:18.595075,2025-10-24 10:56:20.384091,0 days 00:01:01.789016,1,2,3,5,5,1,COMPLETE
11,11,3.0,2025-10-24 10:56:20.384211,2025-10-24 10:57:10.265189,0 days 00:00:49.880978,1,2,3,5,5,1,COMPLETE
12,12,2.6666666666666665,2025-10-24 10:57:10.265298,2025-10-24 10:57:54.980294,0 days 00:00:44.714996,1,2,3,5,5,1,COMPLETE
13,13,2.6666666666666665,2025-10-24 10:57:54.980404,2025-10-24 10:58:44.608997,0 days 00:00:49.628593,1,5,1,5,4,5,COMPLETE
14,14,1.0,2025-10-24 10:58:44.609108,2025-10-24 10:59:11.554142,0 days 00:00:26.945034,2,2,3,5,0,1,COMPLETE
15,15,5.333333333333333,2025-10-24 10:59:11.554256,2025-10-24 11:00:08.884701,0 days 00:00:57.330445,2,2,3,5,5,2,COMPLETE
16,16,4.0,2025-10-24 11:00:08.884901,2025-10-24 11:00:57.349773,0 days 00:00:48.464872,4,5,1,4,5,2,COMPLETE
17,17,4.333333333333333,2025-10-24 11:00:57.349976,2025-10-24 11:01:53.339358,0 days 00:00:55.989382,1,1,0,3,5,2,COMPLETE
18,18,2.0,2025-10-24 11:01:53.339484,2025-10-24 11:02:38.213459,0 days 00:00:44.873975,1,4,3,2,5,5,COMPLETE
19,19,1.0,2025-10-24 11:02:38.213584,2025-10-24 11:03:06.727543,0 days 00:00:28.513959,2,2,3,5,4,1,COMPLETE
20,20,5.333333333333333,2025-10-24 11:03:06.727696,2025-10-24 11:04:10.720548,0 days 00:01:03.992852,4,2,3,5,5,2,COMPLETE
21,21,4.666666666666667,2025-10-24 11:04:10.720723,2025-10-24 11:05:13.583795,0 days 00:01:02.863072,4,2,3,5,5,2,COMPLETE
22,22,3.3333333333333335,2025-10-24 11:05:13.583997,2025-10-24 11:06:06.348466,0 days 00:00:52.764469,4,2,3,5,5,2,COMPLETE
23,23,5.0,2025-10-24 11:06:06.348572,2025-10-24 11:07:03.551344,0 days 00:00:57.202772,4,2,3,5,5,2,COMPLETE
24,24,4.333333333333333,2025-10-24 11:07:03.552033,2025-10-24 11:08:09.211635,0 days 00:01:05.659602,4,2,3,5,5,2,COMPLETE
25,25,2.6666666666666665,2025-10-24 11:08:09.211748,2025-10-24 11:08:52.648720,0 days 00:00:43.436972,2,2,4,5,5,1,COMPLETE
26,26,2.0,2025-10-24 11:08:52.648834,2025-10-24 11:09:33.031728,0 days 00:00:40.382894,1,4,2,3,5,2,COMPLETE
27,27,2.3333333333333335,2025-10-24 11:09:33.031839,2025-10-24 11:10:13.478547,0 days 00:00:40.446708,4,1,0,2,1,5,COMPLETE
28,28,2.6666666666666665,2025-10-24 11:10:13.478671,2025-10-24 11:10:58.361432,0 days 00:00:44.882761,2,5,3,4,3,0,COMPLETE
29,29,3.3333333333333335,2025-10-24 11:10:58.361542,2025-10-24 11:11:58.303067,0 days 00:00:59.941525,3,3,1,1,4,4,COMPLETE
30,30,3.3333333333333335,2025-10-24 11:11:58.303201,2025-10-24 11:12:47.566976,0 days 00:00:49.263775,1,4,3,5,1,4,COMPLETE
31,31,4.333333333333333,2025-10-24 11:12:47.567128,2025-10-24 11:13:49.336281,0 days 00:01:01.769153,4,2,3,5,5,2,COMPLETE
32,32,6.333333333333333,2025-10-24 11:13:49.336394,2025-10-24 11:14:51.118088,0 days 00:01:01.781694,4,2,3,5,5,2,COMPLETE
33,33,4.0,2025-10-24 11:14:51.118201,2025-10-24 11:15:51.469195,0 days 00:01:00.350994,5,2,3,5,5,2,COMPLETE
34,34,4.333333333333333,2025-10-24 11:15:51.469306,2025-10-24 11:16:49.660164,0 days 00:00:58.190858,4,2,3,5,5,2,COMPLETE
35,35,6.333333333333333,2025-10-24 11:16:49.660291,2025-10-24 11:18:04.967086,0 days 00:01:15.306795,5,2,0,4,3,1,COMPLETE
36,36,4.0,2025-10-24 11:18:04.967205,2025-10-24 11:19:03.186756,0 days 00:00:58.219551,5,1,0,4,3,1,COMPLETE
37,37,3.6666666666666665,2025-10-24 11:19:03.186951,2025-10-24 11:19:53.956029,0 days 00:00:50.769078,5,2,0,4,3,1,COMPLETE
38,38,4.0,2025-10-24 11:19:53.956143,2025-10-24 11:20:57.263981,0 days 00:01:03.307838,5,3,0,4,3,1,COMPLETE
39,39,1.0,2025-10-24 11:20:57.264093,2025-10-24 11:21:20.466073,0 days 00:00:23.201980,3,0,4,0,2,3,COMPLETE
40,40,2.0,2025-10-24 11:21:20.466189,2025-10-24 11:22:07.711549,0 days 00:00:47.245360,5,2,5,2,3,1,COMPLETE
41,41,6.0,2025-10-24 11:22:07.711656,2025-10-24 11:23:17.536325,0 days 00:01:09.824669,2,2,2,4,5,2,COMPLETE
42,42,2.3333333333333335,2025-10-24 11:23:17.536448,2025-10-24 11:24:13.806389,0 days 00:00:56.269941,2,2,2,4,1,0,COMPLETE
43,43,2.6666666666666665,2025-10-24 11:24:13.806586,2025-10-24 11:25:01.400416,0 days 00:00:47.593830,2,2,2,4,0,4,COMPLETE
44,44,3.0,2025-10-24 11:25:01.400533,2025-10-24 11:25:49.835060,0 days 00:00:48.434527,2,2,2,4,2,1,COMPLETE
45,45,3.3333333333333335,2025-10-24 11:25:49.835184,2025-10-24 11:26:46.246298,0 days 00:00:56.411114,2,0,2,1,3,3,COMPLETE
