,number,value,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,system_attrs_NSGAIISampler:generation,state
35,35,1.0,2025-10-24 10:40:54.087799,2025-10-24 10:41:14.929674,0 days 00:00:20.841875,4,2,5,0,0,5,0,COMPLETE
36,36,3.3333333333333335,2025-10-24 10:41:14.929782,2025-10-24 10:42:01.664198,0 days 00:00:46.734416,5,0,4,1,4,3,0,COMPLETE
37,37,2.6666666666666665,2025-10-24 10:42:01.664325,2025-10-24 10:42:45.080556,0 days 00:00:43.416231,4,3,4,2,1,5,0,COMPLETE
38,38,1.0,2025-10-24 10:42:45.080673,2025-10-24 10:43:06.497955,0 days 00:00:21.417282,5,0,4,0,1,1,0,COMPLETE
39,39,1.0,2025-10-24 10:43:06.498064,2025-10-24 10:43:28.463902,0 days 00:00:21.965838,5,1,4,0,3,2,0,COMPLETE
40,40,2.6666666666666665,2025-10-24 10:43:28.464012,2025-10-24 10:44:15.453927,0 days 00:00:46.989915,5,2,3,3,1,5,0,COMPLETE
41,41,1.0,2025-10-24 10:44:15.454041,2025-10-24 10:44:38.291928,0 days 00:00:22.837887,1,2,1,0,2,2,0,COMPLETE
42,42,1.3333333333333333,2025-10-24 10:44:38.292032,2025-10-24 10:45:11.305771,0 days 00:00:33.013739,1,3,0,1,5,0,0,COMPLETE
43,43,2.3333333333333335,2025-10-24 10:45:11.305880,2025-10-24 10:45:51.576956,0 days 00:00:40.271076,1,2,5,4,0,2,0,COMPLETE
44,44,1.0,2025-10-24 10:45:51.577070,2025-10-24 10:46:13.673759,0 days 00:00:22.096689,5,1,4,0,4,4,0,COMPLETE
45,45,1.0,2025-10-24 10:46:13.673866,2025-10-24 10:46:34.357290,0 days 00:00:20.683424,1,3,2,0,2,4,0,COMPLETE
46,46,1.0,2025-10-24 10:46:34.357405,2025-10-24 10:47:00.124622,0 days 00:00:25.767217,1,2,3,4,3,0,0,COMPLETE
47,47,1.0,2025-10-24 10:47:00.124739,2025-10-24 10:47:20.991210,0 days 00:00:20.866471,5,1,1,0,5,0,0,COMPLETE
48,48,3.0,2025-10-24 10:47:20.991317,2025-10-24 10:48:03.576457,0 days 00:00:42.585140,3,0,5,1,0,4,0,COMPLETE
49,49,3.0,2025-10-24 10:48:03.576569,2025-10-24 10:48:44.582938,0 days 00:00:41.006369,1,1,4,4,4,5,0,COMPLETE
