,number,value,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,system_attrs_NSGAIISampler:generation,state
0,0,1.0,2025-10-24 10:19:10.534771,2025-10-24 10:19:30.647904,0 days 00:00:20.113133,1,2,2,0,2,0,0,COMPLETE
1,1,4.333333333333333,2025-10-24 10:19:30.648012,2025-10-24 10:20:17.083210,0 days 00:00:46.435198,5,4,0,4,1,5,0,COMPLETE
2,2,3.6666666666666665,2025-10-24 10:20:17.083323,2025-10-24 10:21:05.336167,0 days 00:00:48.252844,4,1,3,1,2,2,0,COMPLETE
3,3,2.0,2025-10-24 10:21:05.336279,2025-10-24 10:21:43.423214,0 days 00:00:38.086935,1,4,0,5,5,3,0,COMPLETE
4,4,2.3333333333333335,2025-10-24 10:21:43.423348,2025-10-24 10:22:19.412882,0 days 00:00:35.989534,5,1,0,4,3,5,0,COMPLETE
5,5,3.6666666666666665,2025-10-24 10:22:19.413406,2025-10-24 10:23:07.818732,0 days 00:00:48.405326,4,1,4,3,4,0,0,COMPLETE
6,6,3.0,2025-10-24 10:23:07.818851,2025-10-24 10:23:50.525626,0 days 00:00:42.706775,3,4,3,1,5,4,0,COMPLETE
7,7,2.0,2025-10-24 10:23:50.525752,2025-10-24 10:24:31.638580,0 days 00:00:41.112828,1,4,4,2,0,5,0,COMPLETE
8,8,3.0,2025-10-24 10:24:31.638706,2025-10-24 10:25:15.140752,0 days 00:00:43.502046,5,3,0,1,5,3,0,COMPLETE
9,9,1.0,2025-10-24 10:25:15.140863,2025-10-24 10:25:35.283583,0 days 00:00:20.142720,5,2,0,0,0,3,0,COMPLETE
10,10,2.0,2025-10-24 10:25:35.283701,2025-10-24 10:26:17.558996,0 days 00:00:42.275295,5,5,4,5,0,2,0,COMPLETE
11,11,1.6666666666666667,2025-10-24 10:26:17.559153,2025-10-24 10:26:52.545039,0 days 00:00:34.985886,3,4,0,1,1,2,0,COMPLETE
12,12,1.0,2025-10-24 10:26:52.545166,2025-10-24 10:27:13.330847,0 days 00:00:20.785681,5,3,4,0,0,5,0,COMPLETE
13,13,1.0,2025-10-24 10:27:13.330961,2025-10-24 10:27:34.723939,0 days 00:00:21.392978,1,1,1,0,0,3,0,COMPLETE
14,14,2.3333333333333335,2025-10-24 10:27:34.724049,2025-10-24 10:28:11.131424,0 days 00:00:36.407375,3,4,3,4,2,5,0,COMPLETE
15,15,1.0,2025-10-24 10:28:11.131547,2025-10-24 10:28:32.752543,0 days 00:00:21.620996,4,2,3,0,2,1,0,COMPLETE
16,16,2.6666666666666665,2025-10-24 10:28:32.752650,2025-10-24 10:29:18.883895,0 days 00:00:46.131245,5,5,2,1,3,5,0,COMPLETE
17,17,4.333333333333333,2025-10-24 10:29:18.884008,2025-10-24 10:30:05.211867,0 days 00:00:46.327859,1,3,3,5,4,2,0,COMPLETE
18,18,3.6666666666666665,2025-10-24 10:30:05.211987,2025-10-24 10:30:50.972324,0 days 00:00:45.760337,4,1,3,4,4,5,0,COMPLETE
19,19,2.0,2025-10-24 10:30:50.972438,2025-10-24 10:31:34.123677,0 days 00:00:43.151239,4,4,3,4,1,1,0,COMPLETE
20,20,3.3333333333333335,2025-10-24 10:31:34.123805,2025-10-24 10:32:23.804693,0 days 00:00:49.680888,1,0,3,3,3,3,0,COMPLETE
21,21,1.0,2025-10-24 10:32:23.804804,2025-10-24 10:32:44.909484,0 days 00:00:21.104680,4,2,1,0,3,2,0,COMPLETE
22,22,1.0,2025-10-24 10:32:44.909591,2025-10-24 10:33:11.267867,0 days 00:00:26.358276,3,3,0,4,5,2,0,COMPLETE
23,23,2.3333333333333335,2025-10-24 10:33:11.267979,2025-10-24 10:33:55.276824,0 days 00:00:44.008845,3,2,1,2,2,0,0,COMPLETE
24,24,1.0,2025-10-24 10:33:55.276937,2025-10-24 10:34:23.351704,0 days 00:00:28.074767,5,1,3,5,4,4,0,COMPLETE
25,25,3.3333333333333335,2025-10-24 10:34:23.351816,2025-10-24 10:35:05.260309,0 days 00:00:41.908493,4,3,3,2,1,5,0,COMPLETE
26,26,1.0,2025-10-24 10:35:05.260468,2025-10-24 10:35:26.567767,0 days 00:00:21.307299,4,5,1,0,5,2,0,COMPLETE
27,27,2.3333333333333335,2025-10-24 10:35:26.567877,2025-10-24 10:36:15.969900,0 days 00:00:49.402023,4,5,5,3,1,2,0,COMPLETE
28,28,2.3333333333333335,2025-10-24 10:36:15.970030,2025-10-24 10:36:59.682184,0 days 00:00:43.712154,4,0,0,2,3,0,0,COMPLETE
29,29,2.6666666666666665,2025-10-24 10:36:59.682297,2025-10-24 10:37:42.386833,0 days 00:00:42.704536,4,0,5,2,5,4,0,COMPLETE
30,30,2.0,2025-10-24 10:37:42.386947,2025-10-24 10:38:20.724662,0 days 00:00:38.337715,4,5,5,3,1,4,0,COMPLETE
31,31,1.3333333333333333,2025-10-24 10:38:20.724771,2025-10-24 10:38:58.378173,0 days 00:00:37.653402,4,5,1,4,1,3,0,COMPLETE
32,32,3.0,2025-10-24 10:38:58.378286,2025-10-24 10:39:42.237615,0 days 00:00:43.859329,3,1,2,3,3,1,0,COMPLETE
33,33,1.0,2025-10-24 10:39:42.237736,2025-10-24 10:40:03.756106,0 days 00:00:21.518370,2,1,3,0,3,0,0,COMPLETE
34,34,3.0,2025-10-24 10:40:03.756215,2025-10-24 10:40:54.087654,0 days 00:00:50.331439,1,2,5,2,3,3,0,COMPLETE
